,dinamik,,,statik,,"insert into cmn_dynamic_group(dynamic_group_code, dynamic_group_name, dynamic_group_parent) values ('",
code,name,parent,,code,name,,
eu,EU,MKT,,dng,Developing,"insert into cmn_dynamic_group(dynamic_group_code, dynamic_group_name, dynamic_group_parent) values ('eu','EU','MKT');",
emr,Emerging Market,SPS,,dpd,Developed,"insert into cmn_dynamic_group(dynamic_group_code, dynamic_group_name, dynamic_group_parent) values ('emr','Emerging Market','SPS');",
erz,Eurozone,MKT,historic,lsdpd,Less Developed,"insert into cmn_dynamic_group(dynamic_group_code, dynamic_group_name, dynamic_group_parent) values ('erz','Eurozone','MKT');",
frn,Frontier Market,SPS,,,,"insert into cmn_dynamic_group(dynamic_group_code, dynamic_group_name, dynamic_group_parent) values ('frn','Frontier Market','SPS');",
g20,G-20 Member,SPS,,,,"insert into cmn_dynamic_group(dynamic_group_code, dynamic_group_name, dynamic_group_parent) values ('g20','G-20 Member','SPS');",
hinc,High Income,INC,,,,"insert into cmn_dynamic_group(dynamic_group_code, dynamic_group_name, dynamic_group_parent) values ('hinc','High Income','INC');",
lminc,Lower-Middle Income,INC,,,,"insert into cmn_dynamic_group(dynamic_group_code, dynamic_group_name, dynamic_group_parent) values ('lminc','Lower-Middle Income','INC');",
uminc,Upper-Middle Income,INC,,,,"insert into cmn_dynamic_group(dynamic_group_code, dynamic_group_name, dynamic_group_parent) values ('uminc','Upper-Middle Income','INC');",
lwinc,Low Income,INC,,,,"insert into cmn_dynamic_group(dynamic_group_code, dynamic_group_name, dynamic_group_parent) values ('lwinc','Low Income','INC');",
dng,Developing,DVP,,,,"insert into cmn_dynamic_group(dynamic_group_code, dynamic_group_name, dynamic_group_parent) values ('dng','Developing','DVP');",
dpd,Developed,DVP,,,,"insert into cmn_dynamic_group(dynamic_group_code, dynamic_group_name, dynamic_group_parent) values ('dpd','Developed','DVP');",
lsdpd,Less Developed,DVP,,,,"insert into cmn_dynamic_group(dynamic_group_code, dynamic_group_name, dynamic_group_parent) values ('lsdpd','Less Developed','DVP');",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,group_code,group_name,group_parent_code,
,,,,prm,Prominent  Market,SPS,statik
